Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6,HeadLocation,SleepPosition
22.0,77.0,44.0,171.0,0.89,0.8,0.85,0.87,0.85,0.99,rightdown,aomuke
22.0,63.0,44.0,182.0,0.89,0.8,0.86,0.87,0.85,1.0,rightdown,aomuke
28.0,63.0,61.0,191.0,0.89,0.8,0.86,0.87,0.85,1.0,rightdown,left_yokomuki
28.0,44.0,57.0,178.0,0.89,0.8,0.84,0.87,0.85,1.0,rightdown,right_yokomuki
33.0,37.0,66.0,156.0,0.89,0.8,0.85,0.87,0.86,1.0,rightdown,right_yokomuki

30.0,13.0,250.0,37.0,0.89,0.8,0.85,1.03,0.85,0.86,leftdown,aomuke
37.0,11.0,253.0,35.0,0.89,0.8,0.85,1.02,0.85,0.86,leftdown,aomuke
37.0,11.0,253.0,35.0,0.89,0.8,0.85,1.02,0.85,0.86,leftdown,aomuke
8.0,0.0,121.0,37.0,0.89,0.8,0.85,1.0,0.85,0.86,leftdown,left_yokomuki
4.0,0.0,121.0,37.0,0.89,0.8,0.85,1.01,0.85,0.86,leftdown,left_yokomuki
28.0,2.0,123.0,30.0,0.89,0.8,0.85,1.05,0.85,0.86,leftdown,right_yokomuki
15.0,2.0,118.0,28.0,0.89,0.8,0.85,1.02,0.85,0.86,leftdown,right_yokomuki

2.0,13.0,35.0,41.0,0.88,0.79,0.84,0.86,1.05,0.85,centerdown,aomuke
2.0,13.0,35.0,41.0,0.88,0.79,0.84,0.86,1.05,0.85,centerdown,aomuke
11.0,11.0,39.0,24.0,0.89,0.8,0.85,0.88,1.04,0.86,centerdown,left_yokomuki
11.0,11.0,39.0,24.0,0.89,0.8,0.85,0.89,1.03,0.86,centerdown,left_yokomuki
11.0,2.0,46.0,63.0,0.89,0.8,0.85,0.91,0.99,0.85,centerdown,right_yokomuki
2.0,2.0,48.0,44.0,0.89,0.8,0.85,0.91,0.97,0.85,centerdown,right_yokomuki

28.0,77.0,6.0,154.0,0.89,0.8,0.85,0.87,0.85,1.02,rightdown,aomuke
